occ90,occ90_desc,occ00,occ00_desc,conversion_factor
,,143,"Industrial engineers, including health and safety",4.90797546012270000000
,,146,Mechanical engineers,4.29447852760736000000
,,153,"Engineers, all other",74.23312883435580000000
063,Surveyors and mapping scientists,,,
,,131,"Surveyors, cartographers, and photogrammetrists",97.80219780219780000000
,,155,"Engineering technicians, except drafters",2.19780219780220000000
064,Computer systems analysts and scientists,,,
,,011,Computer and information systems managers,1.19047619047619000000
,,071,Management analysts,0.59523809523809500000
,,100,Computer scientists and systems analysts,45.53571428571430000000
,,101,Computer programmers,2.67857142857143000000
,,102,Computer software engineers,30.95238095238100000000
,,104,Computer support specialists,6.54761904761905000000
,,106,Database administrators,0.89285714285714300000
,,110,Network and computer systems administrators,3.57142857142857000000
,,111,Network systems and data communications analysts,5.35714285714286000000
,,140,Computer hardware engineers,2.67857142857143000000
065,Operations and systems researchers and analysts,,,
,,070,Logisticians,11.96581196581200000000
,,100,Computer scientists and systems analysts,40.17094017094020000000
,,122,Operations research analysts,47.86324786324790000000
066,Actuaries,,,
,,120,Actuaries,100.00000000000000000000
067,Statisticians,,,
,,123,Statisticians,88.52459016393440000000
,,124,Miscellaneous mathematical science occupations,11.47540983606560000000
068,"Mathematical scientists, n.e.c.",,,
,,121,Mathematicians,87.50000000000000000000
,,124,Miscellaneous mathematical science occupations,8.55263157894737000000
,,132,Aerospace engineers,3.28947368421053000000
,,153,"Engineers, all other",0.65789473684210500000
069,Physicists and astronomers,,,
,,165,Medical scientists,1.57480314960630000000
,,170,Astronomers and physicists,98.42519685039370000000
073,"Chemists, except biochemists",,,
,,172,Chemists and materials scientists,100.00000000000000000000
074,Atmospheric and space scientists,,,
,,171,Atmospheric and space scientists,100.00000000000000000000
075,Geologists and geodesists,,,
,,142,Environmental engineers,0.58139534883720900000
,,174,Environmental scientists and geoscientists,99.41860465116280000000
076,"Physical scientists, n.e.c.",,,
,,164,Conservation scientists and foresters,1.48148148148148000000
,,172,Chemists and materials scientists,2.22222222222222000000
,,174,Environmental scientists and geoscientists,71.85185185185180000000
,,176,"Physical scientists, all other",16.29629629629630000000
,,186,Miscellaneous social scientists and related workers,3.70370370370370000000
,,196,"Other life, physical, and social science technicians",4.44444444444444000000
077,Agricultural and food scientists,,,
,,020,"Farm, ranch, and other agricultural managers",2.70270270270270000000
,,160,Agricultural and food scientists,82.88288288288290000000
,,161,Biological scientists,9.90990990990991000000
,,602,Animal breeders,4.50450450450450000000
078,Biological and life scientists,,,
,,160,Agricultural and food scientists,0.60606060606060600000
,,161,Biological scientists,92.72727272727270000000
,,165,Medical scientists,6.66666666666667000000
079,Forestry and conservation scientists,,,
,,131,"Surveyors, cartographers, and photogrammetrists",0.84033613445378200000
,,161,Biological scientists,7.56302521008403000000
,,164,Conservation scientists and foresters,86.55462184873950000000
,,176,"Physical scientists, all other",1.68067226890756000000
,,196,"Other life, physical, and social science technicians",3.36134453781513000000
083,Medical scientists,,,
,,161,Biological scientists,5.42168674698795000000
,,165,Medical scientists,94.57831325301200000000
084,Physicians,,,
,,306,Physicians and surgeons,97.34513274336280000000
,,353,Miscellaneous health technologists and technicians,2.65486725663717000000
085,Dentists,,,
,,301,Dentists,100.00000000000000000000
086,Veterinarians,,,
,,325,Veterinarians,100.00000000000000000000
087,Optometrists,,,
,,304,Optometrists,100.00000000000000000000
088,Podiatrists,,,
,,312,Podiatrists,100.00000000000000000000
089,"Health diagnosing practitioners, n.e.c.",,,
,,300,Chiropractors,91.97080291970800000000
,,326,"Health diagnosing and treating practitioners, all other",8.02919708029197000000
095,Registered nurses,,,
,,313,Registered nurses,97.95918367346940000000
,,360,"Nursing, psychiatric, and home health aides",2.04081632653061000000
096,Pharmacists,,,
,,305,Pharmacists,100.00000000000000000000
097,Dietitians,,,
,,035,Medical and health services managers,0.72992700729927000000
,,303,Dietitians and nutritionists,96.35036496350370000000
,,341,Health diagnosing and treating practitioner support technicians,2.91970802919708000000
098,Respiratory therapists,,,
,,035,Medical and health services managers,1.05820105820106000000
,,322,Respiratory therapists,98.94179894179890000000
099,Occupational therapists,,,
,,035,Medical and health services managers,1.91082802547771000000
,,315,Occupational therapists,96.81528662420380000000
,,324,"Therapists, all other",1.27388535031847000000
103,Physical therapists,,,
,,316,Physical therapists,100.00000000000000000000
104,Speech therapists,,,
,,314,Audiologists,22.45989304812830000000
,,323,Speech-language pathologists,77.54010695187170000000
105,"Therapists, n.e.c.",,,
,,200,Counselors,7.84313725490196000000
,,316,Physical therapists,0.65359477124183000000
,,320,Radiation therapists,0.65359477124183000000
,,321,Recreational therapists,26.14379084967320000000
,,324,"Therapists, all other",64.70588235294120000000
106,Physicians' assistants,,,
,,311,Physician assistants,35.41666666666670000000
,,340,Emergency medical technicians and paramedics,41.66666666666670000000
,,365,Medical assistants and other healthcare support occupations,22.91666666666670000000
113,"Earth, environmental, and marine science teachers",,,
,,220,Postsecondary teachers,100.00000000000000000000
114,Biological science teachers,,,
,,220,Postsecondary teachers,100.00000000000000000000
115,Chemistry teachers,,,
,,220,Postsecondary teachers,100.00000000000000000000
116,Physics teachers,,,
,,220,Postsecondary teachers,100.00000000000000000000
117,"Natural science teachers, n.e.c.",,,
,,220,Postsecondary teachers,100.00000000000000000000
118,Psychology teachers,,,
,,220,Postsecondary teachers,100.00000000000000000000
119,Economics teachers,,,
,,220,Postsecondary teachers,100.00000000000000000000
123,History teachers,,,
,,220,Postsecondary teachers,100.00000000000000000000
124,Political science teachers,,,
,,220,Postsecondary teachers,100.00000000000000000000
125,Sociology teachers,,,
,,220,Postsecondary teachers,100.00000000000000000000
126,"Social science teachers, n.e.c.",,,
,,220,Postsecondary teachers,100.00000000000000000000
127,Engineering teachers,,,
,,220,Postsecondary teachers,100.00000000000000000000
128,Mathematical science teachers,,,
,,220,Postsecondary teachers,100.00000000000000000000
129,Computer science teachers,,,
,,220,Postsecondary teachers,100.00000000000000000000
133,Medical science teachers,,,
,,220,Postsecondary teachers,100.00000000000000000000
134,Health specialties teachers,,,
,,220,Postsecondary teachers,97.40932642487050000000
,,234,Other teachers and instructors,2.59067357512953000000
135,"Business, commerce, and marketing teachers",,,
,,220,Postsecondary teachers,100.00000000000000000000
136,Agriculture and forestry teachers,,,
,,220,Postsecondary teachers,100.00000000000000000000
137,"Art, drama, and music teachers",,,
,,220,Postsecondary teachers,100.00000000000000000000
138,Physical education teachers,,,
,,220,Postsecondary teachers,93.25842696629210000000
,,272,"Athletes, coaches, umpires, and related workers",6.74157303370786000000
139,Education teachers,,,
,,220,Postsecondary teachers,100.00000000000000000000
143,English teachers,,,
,,220,Postsecondary teachers,100.00000000000000000000
144,Foreign language teachers,,,
,,220,Postsecondary teachers,100.00000000000000000000
145,Law teachers,,,
,,220,Postsecondary teachers,100.00000000000000000000
146,Social work teachers,,,
,,220,Postsecondary teachers,100.00000000000000000000
147,Theology teachers,,,
,,220,Postsecondary teachers,100.00000000000000000000
148,Trade and industrial teachers,,,
,,220,Postsecondary teachers,100.00000000000000000000
149,Home economics teachers,,,
,,220,Postsecondary teachers,100.00000000000000000000
153,"Teachers, postsecondary, n.e.c.",,,
,,220,Postsecondary teachers,81.81818181818180000000
,,234,Other teachers and instructors,18.18181818181820000000
154,"Postsecondary teachers, subject not specified                   ",,,
,,220,Postsecondary teachers,93.15707620528770000000
,,234,Other teachers and instructors,6.84292379471229000000
155,"Teachers, prekindergarten and kindergarten",,,
,,230,Preschool and kindergarten teachers,100.00000000000000000000
156,"Teachers, elementary school",,,
,,231,Elementary and middle school teachers,98.79518072289160000000
,,233,Special education teachers,0.60240963855421700000
,,272,"Athletes, coaches, umpires, and related workers",0.60240963855421700000
157,"Teachers, secondary school",,,
,,231,Elementary and middle school teachers,17.18213058419240000000
,,232,Secondary school teachers,75.94501718213060000000
,,233,Special education teachers,0.34364261168384900000
,,234,Other teachers and instructors,5.49828178694158000000
,,254,Teacher assistants,0.34364261168384900000
,,272,"Athletes, coaches, umpires, and related workers",0.68728522336769800000
158,"Teachers, special education",,,
,,233,Special education teachers,82.69230769230770000000
,,234,Other teachers and instructors,17.30769230769230000000
159,"Teachers, n.e.c.",,,
,,200,Counselors,1.46252285191956000000
,,202,Miscellaneous community and social service specialists,0.18281535648994500000
,,220,Postsecondary teachers,29.25045703839120000000
,,231,Elementary and middle school teachers,1.82815356489945000000
,,232,Secondary school teachers,3.47349177330896000000
,,234,Other teachers and instructors,40.76782449725780000000
,,255,"Other education, training, and library workers",5.30164533820841000000
,,272,"Athletes, coaches, umpires, and related workers",7.31261425959781000000
,,462,Recreation and fitness workers,10.42047531992690000000
163,"Counselors, educational and vocational",,,
,,200,Counselors,100.00000000000000000000
164,Librarians,,,
,,243,Librarians,100.00000000000000000000
165,Archivists and curators,,,
,,240,"Archivists, curators, and museum technicians",100.00000000000000000000
166,Economists,,,
,,180,Economists,21.87500000000000000000
,,181,Market and survey researchers,78.12500000000000000000
167,Psychologists,,,
,,182,Psychologists,82.68156424581010000000
,,200,Counselors,16.20111731843580000000
,,201,Social workers,1.11731843575419000000
168,Sociologists,,,
,,183,Sociologists,100.00000000000000000000
169,"Social scientists, n.e.c.",,,
,,186,Miscellaneous social scientists and related workers,98.46153846153850000000
,,196,"Other life, physical, and social science technicians",1.53846153846154000000
173,Urban planners,,,
,,184,Urban and regional planners,100.00000000000000000000
174,Social workers,,,
,,042,Social and community service managers,2.14592274678112000000
,,200,Counselors,22.31759656652360000000
,,201,Social workers,57.51072961373390000000
,,202,Miscellaneous community and social service specialists,18.02575107296140000000
175,Recreation workers,,,
,,200,Counselors,7.87401574803150000000
,,202,Miscellaneous community and social service specialists,1.57480314960630000000
,,462,Recreation and fitness workers,90.55118110236220000000
176,Clergy,,,
,,204,Clergy,98.92473118279570000000
,,205,"Directors, religious activities and education",1.07526881720430000000
177,"Religious workers, n.e.c.",,,
,,042,Social and community service managers,0.67567567567567600000
,,204,Clergy,18.24324324324320000000
,,205,"Directors, religious activities and education",37.83783783783780000000
,,206,"Religious workers, all other",43.24324324324320000000
178,Lawyers,,,
,,210,Lawyers,93.33333333333330000000
,,211,"Judges, magistrates, and other judicial workers",0.95238095238095200000
,,214,Paralegals and legal assistants,0.47619047619047600000
,,215,Miscellaneous legal support workers,5.23809523809524000000
179,Judges,,,
,,211,"Judges, magistrates, and other judicial workers",100.00000000000000000000
183,Authors,,,
,,284,Technical writers,6.31578947368421000000
,,285,Writers and authors,93.68421052631580000000
184,Technical writers,,,
,,283,Editors,8.00000000000000000000
