occ90,occ90_desc,occ00,occ00_desc,conversion_factor
158,"Teachers, special education",,,
,,233,Special education teachers,82.692
,,234,Other teachers and instructors,17.308
159,"Teachers, n.e.c.",,,
,,200,Counselors,1.463
,,202,Miscellaneous community and social service specialists,0.183
,,220,Postsecondary teachers,29.250
,,231,Elementary and middle school teachers,1.828
,,232,Secondary school teachers,3.473
,,234,Other teachers and instructors,40.768
,,255,"Other education, training, and library workers",5.302
,,272,"Athletes, coaches, umpires, and related workers",7.313
,,462,Recreation and fitness workers,10.420
163,"Counselors, educational and vocational",,,
,,200,Counselors,100.000
164,Librarians,,,
,,243,Librarians,100.000
165,Archivists and curators,,,
,,240,"Archivists, curators, and museum technicians",100.000
166,Economists,,,
,,180,Economists,21.875
,,181,Market and survey researchers,78.125
167,Psychologists,,,
,,182,Psychologists,82.682
,,200,Counselors,16.201
,,201,Social workers,1.117
168,Sociologists,,,
,,183,Sociologists,100.000
169,"Social scientists, n.e.c.",,,
,,186,Miscellaneous social scientists and related workers,98.462
,,196,"Other life, physical, and social science technicians",1.538
173,Urban planners,,,
,,184,Urban and regional planners,100.000
174,Social workers,,,
,,042,Social and community service managers,2.146
,,200,Counselors,22.318
,,201,Social workers,57.511
,,202,Miscellaneous community and social service specialists,18.026
175,Recreation workers,,,
,,200,Counselors,7.874
,,202,Miscellaneous community and social service specialists,1.575
,,462,Recreation and fitness workers,90.551
176,Clergy,,,
,,204,Clergy,98.925
,,205,"Directors, religious activities and education",1.075
177,"Religious workers, n.e.c.",,,
,,042,Social and community service managers,0.676
,,204,Clergy,18.243
,,205,"Directors, religious activities and education",37.838
,,206,"Religious workers, all other",43.243
178,Lawyers,,,
,,210,Lawyers,93.333
,,211,"Judges, magistrates, and other judicial workers",0.952
,,214,Paralegals and legal assistants,0.476
,,215,Miscellaneous legal support workers,5.238
179,Judges,,,
,,211,"Judges, magistrates, and other judicial workers",100.000
183,Authors,,,
,,284,Technical writers,6.316
,,285,Writers and authors,93.684
184,Technical writers,,,
,,283,Editors,8.000
,,284,Technical writers,92.000
185,Designers,,,
,,260,Artists and related workers,4.641
,,263,Designers,94.937
,,775,Miscellaneous assemblers and fabricators,0.422
186,Musicians and composers,,,
,,275,"Musicians, singers, and related workers",100.000
187,Actors and directors,,,
,,006,Public relations managers,1.667
,,270,Actors,32.778
,,271,Producers and directors,61.111
,,276,"Entertainers and performers, sports and related workers, all other",0.556
,,280,Announcers,3.333
,,283,Editors,0.556
188,"Painters, sculptors, craft-artists, and artist printmakers",,,
,,260,Artists and related workers,78.341
,,263,Designers,20.737
,,881,Painting workers,0.922
189,Photographers,,,
,,260,Artists and related workers,1.667
,,291,Photographers,76.667
,,292,"Television, video, and motion picture camera operators and editors",18.333
,,825,Prepress technicians and workers,3.333
193,Dancers,,,
,,274,Dancers and choreographers,99.351
,,275,"Musicians, singers, and related workers",0.649
194,"Artists, performers, and related workers, n.e.c.",,,
,,220,Postsecondary teachers,3.614
,,234,Other teachers and instructors,5.422
,,260,Artists and related workers,10.241
,,271,Producers and directors,7.229
,,276,"Entertainers and performers, sports and related workers, all other",17.470
,,280,Announcers,2.410
,,286,Miscellaneous media and communication workers,34.940
,,290,Broadcast and sound engineering technicians and radio operators,1.807
,,434,Animal trainers,15.060
,,465,"Personal care and service workers, all other ",1.807
195,Editors and reporters,,,
,,281,"News analysts, reporters and correspondents",32.558
,,283,Editors,55.814
,,285,Writers and authors,9.767
,,292,"Television, video, and motion picture camera operators and editors",1.395
,,583,Desktop publishers,0.465
197,Public relations specialists,,,
,,004,Advertising and promotions managers,2.778
,,006,Public relations managers,17.778
,,062,"Human resources, training, and labor relations specialists",1.111
,,282,Public relations specialists,72.222
,,285,Writers and authors,4.444
,,351,Medical records and health information technicians,0.556
,,480,Advertising sales agents,1.111
198,Announcers,,,
,,280,Announcers,100.000
199,Athletes,,,
,,272,"Athletes, coaches, umpires, and related workers",77.987
,,354,Other healthcare practitioners and technical occupations,13.208
,,435,Nonfarm animal caretakers,0.629
,,462,Recreation and fitness workers,3.145
,,752,Commercial divers,5.031
203,Clinical laboratory technologists and technicians,,,
,,330,Clinical laboratory technologists and technicians,77.778
,,332,Diagnostic related technologists and technicians,3.889
,,365,Medical assistants and other healthcare support occupations,18.333
204,Dental hygienists,,,
,,331,Dental hygienists,100.000
205,Health record technologists and technicians,,,
,,351,Medical records and health information technicians,100.000
206,Radiologic technicians,,,
,,320,Radiation therapists,3.627
,,332,Diagnostic related technologists and technicians,96.373
207,Licensed practical nurses,,,
,,350,Licensed practical and licensed vocational nurses,100.000
208,"Health technologists and technicians, n.e.c.",,,
,,196,"Other life, physical, and social science technicians",1.327
,,202,Miscellaneous community and social service specialists,0.442
,,220,Postsecondary teachers,0.885
,,311,Physician assistants,0.885
,,330,Clinical laboratory technologists and technicians,5.310
,,332,Diagnostic related technologists and technicians,6.637
,,340,Emergency medical technicians and paramedics,30.088
,,341,Health diagnosing and treating practitioner support technicians,19.027
,,353,Miscellaneous health technologists and technicians,5.752
,,354,Other healthcare practitioners and technical occupations,6.195
,,362,Physical therapist assistants and aides,1.327
,,365,Medical assistants and other healthcare support occupations,20.354
,,876,"Medical, dental, and ophthalmic laboratory technicians",1.770
213,Electrical and electronic technicians,,,
,,100,Computer scientists and systems analysts,7.042
,,155,"Engineering technicians, except drafters",89.437
,,286,Miscellaneous media and communication workers,1.408
,,743,Precision instrument and equipment repairers,2.113
214,Industrial engineering technicians,,,
,,155,"Engineering technicians, except drafters",100.000
215,Mechanical engineering technicians ,,,
,,155,"Engineering technicians, except drafters",100.000
216,"Engineering technicians, n.e.c. ",,,
,,131,"Surveyors, cartographers, and photogrammetrists",1.527
,,155,"Engineering technicians, except drafters",76.336
,,196,"Other life, physical, and social science technicians",11.450
,,284,Technical writers,0.763
,,290,Broadcast and sound engineering technicians and radio operators,8.397
,,292,"Television, video, and motion picture camera operators and editors",1.527
217,Drafting occupations,,,
,,130,"Architects, except naval",3.165
,,131,"Surveyors, cartographers, and photogrammetrists",4.430
,,154,Drafters,88.608
,,156,Surveying and mapping technicians,0.633
,,260,Artists and related workers,3.165
218,Surveying and mapping technicians,,,
,,131,"Surveyors, cartographers, and photogrammetrists",19.553
,,156,Surveying and mapping technicians,80.447
223,Biological technicians,,,
,,190,Agricultural and food science technicians,36.782
,,191,Biological technicians,28.736
,,192,Chemical technicians,12.644
,,196,"Other life, physical, and social science technicians",11.494
,,341,Health diagnosing and treating practitioner support technicians,10.345
224,Chemical technicians,,,
,,155,"Engineering technicians, except drafters",2.878
,,172,Chemists and materials scientists,4.317
,,190,Agricultural and food science technicians,2.878
,,192,Chemical technicians,85.612
,,193,Geological and petroleum technicians,4.317
225,"Science technicians, n.e.c.",,,
,,155,"Engineering technicians, except drafters",64.167
,,192,Chemical technicians,4.167
,,193,Geological and petroleum technicians,11.667
,,196,"Other life, physical, and social science technicians",20.000
226,Airplane pilots and navigators,,,
,,903,Aircraft pilots and flight engineers,100.000
227,Air traffic controllers,,,
,,904,Air traffic controllers and airfield operations specialists,100.000
228,Broadcast equipment operators,,,
,,290,Broadcast and sound engineering technicians and radio operators,84.685
,,292,"Television, video, and motion picture camera operators and editors",0.901
,,296,"Media and communication equipment workers, all other",1.802
,,503,"Communications equipment operators, all other",3.604
,,552,Dispatchers,9.009
229,Computer programmers,,,
,,101,Computer programmers,100.000
233,"Tool programmers, numerical control",,,
,,790,Computer control programmers and operators,100.000
234,Legal assistants,,,
,,214,Paralegals and legal assistants,51.351
,,215,Miscellaneous legal support workers,47.297
,,593,"Office and administrative support workers, all other",1.351
235,"Technicians, n.e.c.",,,
,,155,"Engineering technicians, except drafters",4.918
,,176,"Physical scientists, all other",1.639
,,181,Market and survey researchers,1.639
,,184,Urban and regional planners,1.639
,,194,Nuclear technicians,6.557
,,196,"Other life, physical, and social science technicians",52.459
,,244,Library Technicians,3.279
,,260,Artists and related workers,11.475
,,290,Broadcast and sound engineering technicians and radio operators,8.197
,,332,Diagnostic related technologists and technicians,3.279
,,875,Jewelers and precious stone and metal workers,4.918
243,"Supervisors and proprietors, sales occupations",,,
,,012,Financial managers,1.142
,,041,"Property, real estate, and community association managers",0.457
,,043,"Managers, all other",3.425
,,052,"Wholesale and retail buyers, except farm products",1.598
,,401,First-line supervisors/managers of food preparation and serving workers,0.228
,,470,First-line supervisors/managers of retail sales workers,56.393
,,471,First-line supervisors/managers of non-retail sales workers,13.470
,,476,Retail salespersons,5.251
,,482,"Securities, commodities, and financial services sales agents",0.457
,,484,"Sales representatives, services, all other",0.228
,,485,"Sales representatives, wholesale and manufacturing",3.425
,,495,"Door-to-door sales workers, news and street vendors, and related workers",0.457
,,496,"Sales and related workers, all other",0.913
,,500,First-line supervisors/managers of office and administrative support workers,6.621
,,770,First-line supervisors/managers of production and operating workers,3.196
,,780,Bakers,0.228
,,900,"Supervisors, transportation and material moving workers",2.055
,,913,Driver/sales workers and truck drivers,0.457
253,Insurance sales occupations,,,
,,054,"Claims adjusters, appraisers, examiners, and investigators",13.274
,,085,Personal financial advisors,3.982
,,086,Insurance underwriters,1.770
,,220,Postsecondary teachers,1.327
,,481,Insurance sales agents,76.991
,,494,Telemarketers,0.885
,,496,"Sales and related workers, all other",0.885
,,510,Bill and account collectors,0.885
254,Real estate sales occupations,,,
,,081,Appraisers and assessors of real estate,10.573
,,085,Personal financial advisors,0.881
,,492,Real estate brokers and sales agents,85.903
,,496,"Sales and related workers, all other",2.643
255,Securities and financial services sales occupations,,,
,,084,Financial analysts,2.516
,,085,Personal financial advisors,18.868
,,482,"Securities, commodities, and financial services sales agents",75.472
,,496,"Sales and related workers, all other",3.145
256,Advertising and related sales occupations,,,
,,053,"Purchasing agents, except wholesale, retail, and farm products",1.613
,,480,Advertising sales agents,96.237
,,496,"Sales and related workers, all other",2.151
257,"Sales occupations, other business services",,,
,,476,Retail salespersons,1.402
,,484,"Sales representatives, services, all other",74.766
,,485,"Sales representatives, wholesale and manufacturing",11.682
,,494,Telemarketers,9.813
,,524,Customer service representatives,2.336
258,Sales engineers,,,
,,493,Sales engineers,100.000
259,"Sales representatives, mining, manufacturing, and wholesale",,,
,,073,Other business operations specialists,1.581
,,475,Parts salespersons,5.138
,,484,"Sales representatives, services, all other",2.372
,,485,"Sales representatives, wholesale and manufacturing",76.680
,,496,"Sales and related workers, all other",13.834
,,913,Driver/sales workers and truck drivers,0.395
263,"Sales workers, motor vehicles and boats",,,
,,470,First-line supervisors/managers of retail sales workers,2.286
,,474,Counter and rental clerks,0.571
,,476,Retail salespersons,95.429
,,485,"Sales representatives, wholesale and manufacturing",1.714
264,"Sales workers, apparel",,,
,,476,Retail salespersons,100.000
265,"Sales workers, shoes",,,
,,476,Retail salespersons,100.000
266,"Sales workers, furniture and home furnishings",,,
,,476,Retail salespersons,99.390
,,484,"Sales representatives, services, all other",0.610
267,"Sales workers; radio, TV, hi-fi, and appliances",,,
,,476,Retail salespersons,100.000
268,"Sales workers, hardware and building supplies",,,
,,476,Retail salespersons,100.000
269,"Sales workers, parts",,,
,,475,Parts salespersons,100.000
274,"Sales workers, other commodities",,,
,,353,Miscellaneous health technologists and technicians,0.241
,,406,"Counter attendants, cafeteria, food concession, and coffee shop",3.614
,,472,Cashiers,0.482
,,474,Counter and rental clerks,2.410
,,475,Parts salespersons,1.205
,,476,Retail salespersons,78.554
,,482,"Securities, commodities, and financial services sales agents",0.723
,,484,"Sales representatives, services, all other",1.205
,,485,"Sales representatives, wholesale and manufacturing",3.133
,,494,Telemarketers,5.301
,,495,"Door-to-door sales workers, news and street vendors, and related workers",0.482
,,496,"Sales and related workers, all other",2.651
275,Sales counter clerks,,,
